criterion,epoch,Accuracy,Macro Precision,Macro Recall,Macro F1,Weighted F1,Top-3 Acc,Macro Recall@3
focal_loss,1,0.3325,0.44008871273647576,0.3325,0.2814397916139037,0.3850417947627095,0.6298,0.6298
focal_loss,2,0.5582,0.5954459264650948,0.5582,0.5275892621181563,0.5881399505108119,0.8356,0.8356
focal_loss,3,0.6158,0.66039021703629,0.6158,0.5914626531329559,0.6472369183097404,0.8619,0.8619
focal_loss,4,0.6427,0.6826725823837855,0.6426999999999999,0.6289882531523758,0.6693410952032786,0.8997,0.8996999999999999
focal_loss,5,0.664,0.6968372219527004,0.6639999999999999,0.6524443054736561,0.6891318353575081,0.8982,0.8981999999999999
focal_loss,6,0.6727,0.6840580240203864,0.6727000000000001,0.6597675785850965,0.6900941013814745,0.9022,0.9022
focal_loss,7,0.6532,0.6969159613962288,0.6532,0.6375071284201237,0.6808301936995993,0.8981,0.8981
focal_loss,8,0.6474,0.7017288743188532,0.6474,0.6276235473787742,0.6860522592869245,0.8913,0.8913
focal_loss,9,0.6624,0.6950612952557325,0.6624,0.6508718690273824,0.6907230146983441,0.9097,0.9097
focal_loss,10,0.6517,0.6887963206519043,0.6517000000000001,0.6429515966507784,0.684088866762277,0.909,0.909
focal_loss,11,0.669,0.6957430339068316,0.669,0.6618651925811909,0.6871902607051481,0.9125,0.9125
focal_loss,12,0.6681,0.7190827438281215,0.6681,0.6620126802754813,0.7042702138388133,0.9063,0.9062999999999999
focal_loss,13,0.6848,0.7201062309357874,0.6848,0.6742186919611751,0.7076399313755216,0.9086,0.9086000000000001
focal_loss,14,0.7062,0.7354849592713343,0.7062,0.7031573987916596,0.7271262087150694,0.917,0.917
focal_loss,15,0.7109,0.7408780207556721,0.7109,0.700585741260389,0.73198084881535,0.9086,0.9086000000000001
focal_loss,16,0.7083,0.7263818879446768,0.7083,0.699207116068159,0.7246374869203673,0.9074,0.9074
focal_loss,17,0.6777,0.7271200450692514,0.6777,0.667533355599724,0.7068519858218458,0.9047,0.9047000000000001
focal_loss,18,0.6993,0.7327233654155708,0.6993,0.688175199964025,0.7231469455673359,0.905,0.905
focal_loss,19,0.7088,0.7361934245071471,0.7088,0.6982626585584502,0.7322895483671005,0.9155,0.9155
focal_loss,20,0.7242,0.7445778988632761,0.7242,0.7169146822150037,0.7437186515015092,0.9278,0.9278000000000001
focal_loss,21,0.7002,0.7325830777414167,0.7001999999999999,0.6954926238308706,0.7228149321700847,0.9108,0.9108
focal_loss,22,0.7262,0.7494479936577512,0.7262,0.718909748590076,0.7470094490441178,0.9199,0.9198999999999999
focal_loss,23,0.7058,0.7518278348848663,0.7058,0.6986957426919644,0.7333862117447129,0.9063,0.9063000000000001
focal_loss,24,0.7195,0.7529430834466517,0.7195,0.7131865225862863,0.7421578307494315,0.9125,0.9125
focal_loss,25,0.7192,0.7527426070561859,0.7192000000000001,0.7106526880253186,0.7435370884590699,0.92,0.9199999999999999
focal_loss,26,0.73,0.751916673053332,0.73,0.7258927375200548,0.7505057262064351,0.9261,0.9260999999999999
focal_loss,27,0.7129,0.7568161064920554,0.7129000000000001,0.7030069488901176,0.7410155409296743,0.916,0.916
focal_loss,28,0.7248,0.7499769187767366,0.7248,0.7150654988353451,0.7443232111738629,0.9162,0.9161999999999999
focal_loss,29,0.7341,0.7487443116367732,0.7341,0.7288553870051989,0.7554210181171922,0.9244,0.9244
focal_loss,30,0.7079,0.7532403684616723,0.7079,0.6941763155534022,0.7376020589358856,0.9044,0.9044000000000001
focal_loss,31,0.741,0.7648356221491539,0.741,0.7303555572099552,0.7607535431101233,0.9238,0.9238
focal_loss,32,0.7461,0.7660309471030162,0.7461,0.7363886105774147,0.7654365599342987,0.9222,0.9221999999999999
focal_loss,33,0.723,0.7503655828985036,0.7230000000000001,0.7213829008600929,0.7399063547838108,0.9245,0.9244999999999999
focal_loss,34,0.749,0.7660369692624099,0.749,0.7456953383421684,0.7652501063614483,0.9309,0.9309
focal_loss,35,0.7234,0.7575301446669986,0.7234,0.7153965991960376,0.7498059722405003,0.9142,0.9141999999999999
focal_loss,36,0.7226,0.7493014581750459,0.7226,0.7139542282516853,0.7487907763762001,0.9134,0.9134
focal_loss,37,0.715,0.7558362658721041,0.7150000000000001,0.704613194918023,0.7416310001877994,0.911,0.9109999999999999
focal_loss,38,0.7331,0.765970997572748,0.7331000000000001,0.7228123470188382,0.7571429183369196,0.9211,0.9211
focal_loss,39,0.7212,0.747783226455552,0.7212,0.716010546562887,0.745845555375427,0.9224,0.9224
focal_loss,40,0.7336,0.7638155590649001,0.7336,0.7239700318542529,0.7567986855692063,0.9211,0.9211
focal_loss,41,0.7,0.7481092141743664,0.7,0.6860551512954327,0.7309000316568709,0.904,0.9039999999999999
focal_loss,42,0.7493,0.7759022139807144,0.7493000000000001,0.7423016388331515,0.7697718838936676,0.9259,0.9259000000000001
focal_loss,43,0.7019,0.7476149752392863,0.7019,0.6966342649538724,0.7299558967075126,0.9071,0.9071
focal_loss,44,0.7341,0.7621497113376895,0.7341,0.721565242342637,0.7571174472629326,0.9172,0.9172
focal_loss,45,0.7155,0.7572726944309902,0.7155,0.7093712019862173,0.7401231200721395,0.9141,0.9141
focal_loss,46,0.7548,0.7735510602315944,0.7548,0.7498395102500781,0.7722057865491014,0.9271,0.9270999999999999
focal_loss,47,0.7363,0.7689482269244633,0.7363,0.7303122662518831,0.7608182928121701,0.9224,0.9224
focal_loss,48,0.7475,0.7636571605477352,0.7474999999999999,0.7382733759885107,0.7630156052416348,0.9287,0.9286999999999999
focal_loss,49,0.7352,0.7639236480847172,0.7352000000000001,0.7288385409765142,0.7581656183753085,0.9253,0.9253
focal_loss,50,0.7042,0.7495608008933505,0.7041999999999999,0.6878802699032333,0.733741761001083,0.9063,0.9063000000000001
focal_loss,51,0.7398,0.7620596457078567,0.7398,0.7260817877299395,0.7636667222879588,0.9202,0.9202
focal_loss,52,0.7473,0.7703115336282117,0.7473,0.7385749705069373,0.763016143349245,0.9228,0.9228
focal_loss,53,0.7575,0.7720631761983913,0.7575000000000001,0.7516035986916542,0.7747306954490031,0.9292,0.9292
focal_loss,54,0.7565,0.7775894319576595,0.7565000000000001,0.7499585761531934,0.7754688562652337,0.9269,0.9269000000000001
focal_loss,55,0.7482,0.7762784030265794,0.7482,0.741651332165928,0.7688188935826498,0.9193,0.9193
focal_loss,56,0.7581,0.7771082382736941,0.7581,0.7529958043826179,0.776535830622905,0.9337,0.9337
focal_loss,57,0.7541,0.7743927619652484,0.7541,0.7459648381380071,0.7733213564691376,0.9321,0.9320999999999999
focal_loss,58,0.7752,0.7904650823761514,0.7752,0.7683808783828681,0.7921733791355616,0.9359,0.9359
focal_loss,59,0.742,0.7751459109637018,0.742,0.7290282236620742,0.7641228133967304,0.9143,0.9142999999999999
focal_loss,60,0.7291,0.7687224885316215,0.7291000000000001,0.7168541621487341,0.7618201224040161,0.9226,0.9225999999999999
focal_loss,61,0.7537,0.7766654307044834,0.7537,0.7445461812149616,0.7738607056791366,0.9292,0.9292
focal_loss,62,0.7709,0.7898168925781104,0.7708999999999999,0.7627014550615244,0.7870059057426575,0.9302,0.9301999999999999
focal_loss,63,0.7146,0.7551290395516497,0.7146,0.6985159267029868,0.7447801993227167,0.9204,0.9204000000000001
focal_loss,64,0.7522,0.769318041325343,0.7522,0.7458218049011218,0.771676384352096,0.9315,0.9315
focal_loss,65,0.744,0.7656694534442429,0.744,0.7319622056119258,0.765987035704895,0.919,0.9189999999999999
focal_loss,66,0.7557,0.781676897357438,0.7557,0.7485215480153349,0.7717962271593898,0.9278,0.9278000000000001
focal_loss,67,0.7492,0.7759847612479028,0.7492,0.7411858974500846,0.7702434686411582,0.9305,0.9305
focal_loss,68,0.7363,0.7681664666274772,0.7363,0.7279749878589481,0.7623636470299078,0.9232,0.9231999999999999
focal_loss,69,0.7287,0.7596143361772193,0.7287,0.7159092889526091,0.7553433029289731,0.9162,0.9161999999999999
focal_loss,70,0.7488,0.7651757422084053,0.7487999999999999,0.7418425465021882,0.7623462174252342,0.9282,0.9282
focal_loss,71,0.7386,0.778169567843849,0.7386,0.7251280719529556,0.7673841562748086,0.9108,0.9108
focal_loss,72,0.7463,0.7764179837779318,0.7463,0.7366364423840482,0.7676963398606941,0.9244,0.9244
focal_loss,73,0.7564,0.7775242666097725,0.7564,0.7529116113244981,0.7758130060093223,0.9374,0.9374
focal_loss,74,0.735,0.7767769520411234,0.735,0.7299897759656208,0.7669758408242268,0.9315,0.9315
focal_loss,75,0.749,0.7827391242076159,0.749,0.7382505956681691,0.7757493839973991,0.9226,0.9225999999999999
focal_loss,76,0.7572,0.782381787873908,0.7572,0.7474651126408862,0.7771067537193661,0.9246,0.9246000000000001
focal_loss,77,0.7423,0.7785872040996035,0.7423,0.7325031241015749,0.7618838926276775,0.9173,0.9173
focal_loss,78,0.7776,0.7952250872299441,0.7776,0.7750250163922079,0.7935772582526361,0.9381,0.9381
focal_loss,79,0.7267,0.7694337089337067,0.7267,0.7150345593698446,0.7528901658149517,0.9151,0.9151
focal_loss,80,0.7595,0.7800269613463725,0.7595,0.750474052178671,0.7776449398276934,0.928,0.9279999999999999
