split,criterion,seed,epoch,Accuracy,Macro Precision,Macro Recall,Macro F1,Weighted F1,Top-3 Acc,Macro Recall@3
balanced,ce,seed_2,1,0.5744,0.6154770629848093,0.5744,0.5733837468902829,0.5733837468902828,0.8703,0.8703000000000001
balanced,ce,seed_2,2,0.6862,0.6981844617781858,0.6861999999999999,0.6820990135886724,0.6820990135886724,0.9101,0.9101000000000001
balanced,ce,seed_2,3,0.7495,0.7543847438669595,0.7495,0.7477725290534338,0.7477725290534338,0.9414,0.9414
balanced,ce,seed_2,4,0.7578,0.7640954793193562,0.7578,0.7547479884872833,0.7547479884872833,0.9394,0.9394
balanced,ce,seed_2,5,0.7442,0.7555203550295547,0.7442,0.7413054733529277,0.741305473352928,0.9376,0.9376
balanced,ce,seed_2,6,0.7642,0.771756086872168,0.7642,0.7603975820953602,0.7603975820953601,0.9403,0.9403
balanced,ce,seed_2,7,0.7812,0.782715444629451,0.7811999999999999,0.7789932361135816,0.7789932361135815,0.9474,0.9473999999999998
balanced,ce,seed_2,8,0.7914,0.7988381942801289,0.7914,0.7889810075922526,0.7889810075922525,0.9514,0.9513999999999999
balanced,ce,seed_2,9,0.7872,0.7882389213797524,0.7872000000000001,0.7857740027664312,0.7857740027664311,0.9484,0.9484000000000001
balanced,ce,seed_2,10,0.7977,0.8077600914075758,0.7977000000000001,0.8000664274545841,0.8000664274545842,0.9571,0.9571
balanced,ce,seed_2,11,0.7927,0.8025421630884356,0.7927,0.7943728135318535,0.7943728135318536,0.9563,0.9563
balanced,ce,seed_2,12,0.8032,0.80637234468753,0.8032,0.8025364447880502,0.8025364447880501,0.9583,0.9583
balanced,ce,seed_2,13,0.8146,0.8189661739581918,0.8146000000000001,0.8145311327596596,0.8145311327596597,0.9588,0.9587999999999999
balanced,ce,seed_2,14,0.8083,0.8109889761848805,0.8083,0.8070515647181338,0.8070515647181339,0.9604,0.9604000000000001
balanced,ce,seed_2,15,0.812,0.8192728897325587,0.8119999999999999,0.8125991244467313,0.8125991244467311,0.9595,0.9595
balanced,ce,seed_2,16,0.814,0.822059329325158,0.8140000000000001,0.8139894611111785,0.8139894611111786,0.9599,0.9599
balanced,ce,seed_2,17,0.8185,0.8249011107594848,0.8184999999999999,0.8170579160573199,0.8170579160573201,0.9572,0.9571999999999999
balanced,ce,seed_2,18,0.8159,0.8215587457392504,0.8159000000000001,0.8163055782185225,0.8163055782185227,0.96,0.96
balanced,ce,seed_2,19,0.8199,0.8224685882930143,0.8199,0.8194531866965574,0.8194531866965575,0.9587,0.9587
balanced,ce,seed_2,20,0.8215,0.8260630669974042,0.8215,0.8211923769221519,0.8211923769221519,0.9614,0.9613999999999999
balanced,ce,seed_18,1,0.581,0.6489227035011494,0.581,0.5847167266031715,0.5847167266031716,0.8752,0.8752000000000001
balanced,ce,seed_18,2,0.6496,0.6898691868779097,0.6496000000000001,0.6485496701311003,0.6485496701311004,0.9114,0.9114000000000001
balanced,ce,seed_18,3,0.7439,0.7588442715445576,0.7439,0.7405335876007764,0.7405335876007763,0.9388,0.9388
balanced,ce,seed_18,4,0.7505,0.7554332045163669,0.7505,0.744738396401065,0.744738396401065,0.943,0.943
balanced,ce,seed_18,5,0.7756,0.7823055403176136,0.7756,0.7744121698855144,0.7744121698855146,0.9497,0.9497
balanced,ce,seed_18,6,0.7714,0.7806818166953239,0.7714000000000001,0.7689838835411835,0.7689838835411834,0.9484,0.9484
balanced,ce,seed_18,7,0.7848,0.7961491778162578,0.7847999999999999,0.78082191675099,0.7808219167509899,0.9485,0.9484999999999998
balanced,ce,seed_18,8,0.8014,0.806195520455017,0.8013999999999999,0.7997199069227202,0.7997199069227202,0.9597,0.9597
balanced,ce,seed_18,9,0.7932,0.8022907108914555,0.7931999999999999,0.7932665354060786,0.7932665354060786,0.9569,0.9569000000000001
balanced,ce,seed_18,10,0.8029,0.8036375525773675,0.8029,0.8014590124188026,0.8014590124188026,0.9594,0.9593999999999999
balanced,ce,seed_18,11,0.8069,0.8095044921882225,0.8069,0.8039030353242138,0.8039030353242136,0.9573,0.9573
balanced,ce,seed_18,12,0.7981,0.805742690522961,0.7981,0.7991323275789344,0.7991323275789344,0.9513,0.9513000000000001
balanced,ce,seed_18,13,0.8001,0.8102286510840981,0.8001000000000001,0.8016169888897033,0.8016169888897033,0.9543,0.9542999999999999
balanced,ce,seed_18,14,0.8202,0.8199846901282427,0.8202,0.8188146073247783,0.8188146073247783,0.9568,0.9568
balanced,ce,seed_18,15,0.8083,0.814058671110639,0.8083,0.809956488365809,0.809956488365809,0.9565,0.9564999999999999
balanced,ce,seed_18,16,0.8145,0.8195087238916956,0.8145,0.8143181652162503,0.8143181652162504,0.9622,0.9621999999999999
balanced,ce,seed_18,17,0.8092,0.8143155853259157,0.8091999999999999,0.8092016036014824,0.8092016036014823,0.957,0.9570000000000001
balanced,ce,seed_18,18,0.8203,0.8254336290849412,0.8202999999999999,0.8207594894787084,0.8207594894787085,0.9606,0.9606
balanced,ce,seed_18,19,0.8288,0.8295247656214508,0.8287999999999999,0.8279665081142429,0.8279665081142429,0.9591,0.9591000000000001
balanced,ce,seed_18,20,0.8159,0.820975969874997,0.8159000000000001,0.8165831190816055,0.8165831190816057,0.9544,0.9544
balanced,ce,seed_33,1,0.6199,0.6286570367337739,0.6199,0.6127720834321508,0.612772083432151,0.8829,0.8828999999999999
balanced,ce,seed_33,2,0.7276,0.7344742651428303,0.7276,0.7244486373092534,0.7244486373092534,0.9322,0.9321999999999999
balanced,ce,seed_33,3,0.7535,0.7598038907180137,0.7535000000000002,0.7487301969096978,0.7487301969096979,0.9368,0.9368000000000001
balanced,ce,seed_33,4,0.7584,0.768163258363017,0.7584000000000001,0.7528307905952234,0.7528307905952235,0.9369,0.9369
balanced,ce,seed_33,5,0.7749,0.7824461388138932,0.7748999999999999,0.7721304742241992,0.7721304742241992,0.9483,0.9483
balanced,ce,seed_33,6,0.7642,0.7770012764396151,0.7642,0.7638349459188276,0.7638349459188276,0.937,0.9369999999999999
balanced,ce,seed_33,7,0.779,0.7909114936564346,0.779,0.7775906778464009,0.7775906778464009,0.9485,0.9484999999999999
balanced,ce,seed_33,8,0.7891,0.8001851974780347,0.7891,0.789401780144149,0.7894017801441491,0.948,0.9479999999999998
balanced,ce,seed_33,9,0.7925,0.805148363304655,0.7924999999999999,0.7931947914100592,0.7931947914100592,0.9507,0.9507
balanced,ce,seed_33,10,0.7776,0.793404236085825,0.7776000000000002,0.7785526161597063,0.7785526161597064,0.9441,0.9440999999999999
balanced,ce,seed_33,11,0.8097,0.8171852570033028,0.8097,0.8092706002803365,0.8092706002803365,0.958,0.958
balanced,ce,seed_33,12,0.806,0.8112398772323285,0.806,0.8042088508012751,0.8042088508012751,0.9533,0.9532999999999999
balanced,ce,seed_33,13,0.8173,0.8199577587830855,0.8173,0.8168174110203855,0.8168174110203856,0.9588,0.9587999999999999
