split,criterion,seed,epoch,confidence,accuracy,count
balanced,ce,seed_2,1,0.688571288375606,0.5744,10000
balanced,ce,seed_2,2,0.7561667615819563,0.6862,10000
balanced,ce,seed_2,3,0.7935708556066473,0.7495,10000
balanced,ce,seed_2,4,0.8246270090686437,0.7578,10000
balanced,ce,seed_2,5,0.8449860364976537,0.7442,10000
balanced,ce,seed_2,6,0.867196163783257,0.7642,10000
balanced,ce,seed_2,7,0.8844369478240129,0.7812,10000
balanced,ce,seed_2,8,0.8963717638007045,0.7914,10000
balanced,ce,seed_2,9,0.9009506595408359,0.7872,10000
balanced,ce,seed_2,10,0.9075770701373501,0.7977,10000
balanced,ce,seed_2,11,0.9176674765366338,0.7927,10000
balanced,ce,seed_2,12,0.918685453670552,0.8032,10000
balanced,ce,seed_2,13,0.9254910852255456,0.8146,10000
balanced,ce,seed_2,14,0.93148982339966,0.8083,10000
balanced,ce,seed_2,15,0.9295858828783771,0.812,10000
balanced,ce,seed_2,16,0.9359784777086297,0.814,10000
balanced,ce,seed_2,17,0.9400268238624769,0.8185,10000
balanced,ce,seed_2,18,0.9367762357329777,0.8159,10000
balanced,ce,seed_2,19,0.9407424633015428,0.8199,10000
balanced,ce,seed_2,20,0.9423279509234961,0.8215,10000
balanced,ce,seed_18,1,0.6846540324677383,0.581,10000
balanced,ce,seed_18,2,0.7732066905622234,0.6496,10000
balanced,ce,seed_18,3,0.8075364558439413,0.7439,10000
balanced,ce,seed_18,4,0.8354045005455373,0.7505,10000
balanced,ce,seed_18,5,0.8606544755296616,0.7756,10000
balanced,ce,seed_18,6,0.8761199631243286,0.7714,10000
balanced,ce,seed_18,7,0.8957233680242369,0.7848,10000
balanced,ce,seed_18,8,0.9035081204442987,0.8014,10000
balanced,ce,seed_18,9,0.9029195788062856,0.7932,10000
balanced,ce,seed_18,10,0.9171452460567656,0.8029,10000
balanced,ce,seed_18,11,0.9266402779434798,0.8069,10000
balanced,ce,seed_18,12,0.9244405123215406,0.7981,10000
balanced,ce,seed_18,13,0.9253865509945388,0.8001,10000
balanced,ce,seed_18,14,0.933659567629846,0.8202,10000
balanced,ce,seed_18,15,0.9337955172130303,0.8083,10000
balanced,ce,seed_18,16,0.9372108088511514,0.8145,10000
balanced,ce,seed_18,17,0.9397795414233012,0.8092,10000
balanced,ce,seed_18,18,0.9393114135158885,0.8203,10000
balanced,ce,seed_18,19,0.9414266275119384,0.8288,10000
balanced,ce,seed_18,20,0.9446684842188328,0.8159,10000
balanced,ce,seed_33,1,0.684814835726542,0.6199,10000
balanced,ce,seed_33,2,0.7872734314449122,0.7276,10000
balanced,ce,seed_33,3,0.8215857296265547,0.7535,10000
balanced,ce,seed_33,4,0.847554808254854,0.7584,10000
balanced,ce,seed_33,5,0.8600704626630687,0.7749,10000
balanced,ce,seed_33,6,0.8733211095977056,0.7642,10000
balanced,ce,seed_33,7,0.8941884054674616,0.779,10000
balanced,ce,seed_33,8,0.8985950787512981,0.7891,10000
balanced,ce,seed_33,9,0.9059129376568477,0.7925,10000
balanced,ce,seed_33,10,0.9087922803292336,0.7776,10000
balanced,ce,seed_33,11,0.924968430275076,0.8097,10000
balanced,ce,seed_33,12,0.9330302288414587,0.806,10000
balanced,ce,seed_33,13,0.9303215396718831,0.8173,10000
balanced,ce,seed_33,14,0.9314973476352064,0.8044,10000
balanced,ce,seed_33,15,0.9339226011805899,0.8015,10000
balanced,ce,seed_33,16,0.9389863466676305,0.8317,10000
balanced,ce,seed_33,17,0.9377540988424966,0.8182,10000
balanced,ce,seed_33,18,0.9426141464558637,0.8177,10000
balanced,ce,seed_33,19,0.9350118078020947,0.8073,10000
balanced,ce,seed_33,20,0.9439778435330327,0.8283,10000
balanced,ce,seed_45,1,0.6993883945999889,0.6177,10000
balanced,ce,seed_45,2,0.7640497330781131,0.6944,10000
balanced,ce,seed_45,3,0.7953735676316119,0.7417,10000
balanced,ce,seed_45,4,0.8359910160445343,0.7485,10000
balanced,ce,seed_45,5,0.8601004399039921,0.7558,10000
balanced,ce,seed_45,6,0.8814274393742034,0.7914,10000
balanced,ce,seed_45,7,0.8861348337164007,0.7765,10000
balanced,ce,seed_45,8,0.8926326994865692,0.7832,10000
balanced,ce,seed_45,9,0.9036944210444259,0.8075,10000
balanced,ce,seed_45,10,0.9082779571156782,0.7999,10000
balanced,ce,seed_45,11,0.9193044182728316,0.803,10000
balanced,ce,seed_45,12,0.9147426647214765,0.7896,10000
balanced,ce,seed_45,13,0.9243215415196672,0.8045,10000
balanced,ce,seed_45,14,0.9285522573128823,0.8076,10000
balanced,ce,seed_45,15,0.934325608124087,0.8179,10000
balanced,ce,seed_45,16,0.9351384148439894,0.8242,10000
balanced,ce,seed_45,17,0.9427448681728814,0.8277,10000
balanced,ce,seed_45,18,0.9374855902251833,0.8164,10000
balanced,ce,seed_45,19,0.9407082819967721,0.8343,10000
balanced,ce,seed_45,20,0.9403459587331275,0.8116,10000
balanced,ce,seed_255,1,0.7061901012720078,0.5967,10000
balanced,ce,seed_255,2,0.767760299268257,0.6928,10000
balanced,ce,seed_255,3,0.8240888570476275,0.7357,10000
balanced,ce,seed_255,4,0.8265050043795483,0.7332,10000
balanced,ce,seed_255,5,0.8470991432560492,0.7531,10000
balanced,ce,seed_255,6,0.8648139770581822,0.7717,10000
balanced,ce,seed_255,7,0.8722098171544806,0.7566,10000
balanced,ce,seed_255,8,0.8975241077242767,0.7745,10000
balanced,ce,seed_255,9,0.9061795910131707,0.7787,10000
balanced,ce,seed_255,10,0.9210325626233047,0.7997,10000
balanced,ce,seed_255,11,0.9217506312249174,0.817,10000
balanced,ce,seed_255,12,0.9239642295156678,0.7967,10000
balanced,ce,seed_255,13,0.9308741808362991,0.8161,10000
balanced,ce,seed_255,14,0.9344727512504449,0.8156,10000
balanced,ce,seed_255,15,0.9317768667392374,0.81,10000
balanced,ce,seed_255,16,0.937660919984302,0.8241,10000
balanced,ce,seed_255,17,0.9392278259657793,0.8171,10000
balanced,ce,seed_255,18,0.9408251043242016,0.826,10000
balanced,ce,seed_255,19,0.9437620797207655,0.8271,10000
balanced,ce,seed_255,20,0.9422689112780428,0.8269,10000
balanced,focal_loss,seed_2,1,0.5546582953962282,0.5706,10000
balanced,focal_loss,seed_2,2,0.624524108162419,0.6762,10000
balanced,focal_loss,seed_2,3,0.6444027955264924,0.6944,10000
balanced,focal_loss,seed_2,4,0.6837464059699527,0.7233,10000
balanced,focal_loss,seed_2,5,0.6947325136850517,0.7314,10000
balanced,focal_loss,seed_2,6,0.7317697729616212,0.74,10000
balanced,focal_loss,seed_2,7,0.753347392576332,0.7425,10000
balanced,focal_loss,seed_2,8,0.7719732674932034,0.747,10000
balanced,focal_loss,seed_2,9,0.7885722517917411,0.7634,10000
balanced,focal_loss,seed_2,10,0.8037986650264228,0.779,10000
balanced,focal_loss,seed_2,11,0.817994570469428,0.7803,10000
balanced,focal_loss,seed_2,12,0.8266246101682138,0.7858,10000
balanced,focal_loss,seed_2,13,0.8388308385363383,0.7969,10000
balanced,focal_loss,seed_2,14,0.8445056831492977,0.803,10000
