criterion,epoch,true_class,predicted_class,count
ce,1,0,0,2696
ce,1,0,1,260
ce,1,0,2,386
ce,1,0,3,114
ce,1,0,4,82
ce,1,0,5,68
ce,1,0,6,81
ce,1,0,7,125
ce,1,0,8,919
ce,1,0,9,269
ce,1,1,0,198
ce,1,1,1,3537
ce,1,1,2,31
ce,1,1,3,55
ce,1,1,4,16
ce,1,1,5,28
ce,1,1,6,73
ce,1,1,7,70
ce,1,1,8,315
ce,1,1,9,677
ce,1,2,0,446
ce,1,2,1,70
ce,1,2,2,1936
ce,1,2,3,460
ce,1,2,4,571
ce,1,2,5,377
ce,1,2,6,623
ce,1,2,7,218
ce,1,2,8,220
ce,1,2,9,79
ce,1,3,0,148
ce,1,3,1,84
ce,1,3,2,490
ce,1,3,3,1556
ce,1,3,4,315
ce,1,3,5,1158
ce,1,3,6,572
ce,1,3,7,349
ce,1,3,8,175
ce,1,3,9,153
ce,1,4,0,195
ce,1,4,1,77
ce,1,4,2,718
ce,1,4,3,312
ce,1,4,4,1796
ce,1,4,5,337
ce,1,4,6,697
ce,1,4,7,671
ce,1,4,8,132
ce,1,4,9,65
ce,1,5,0,76
ce,1,5,1,66
ce,1,5,2,364
ce,1,5,3,1028
ce,1,5,4,318
ce,1,5,5,2107
ce,1,5,6,351
ce,1,5,7,484
ce,1,5,8,111
ce,1,5,9,95
ce,1,6,0,54
ce,1,6,1,80
ce,1,6,2,402
ce,1,6,3,413
ce,1,6,4,463
ce,1,6,5,171
ce,1,6,6,3044
ce,1,6,7,157
ce,1,6,8,102
ce,1,6,9,114
ce,1,7,0,115
ce,1,7,1,92
ce,1,7,2,193
ce,1,7,3,293
ce,1,7,4,474
ce,1,7,5,542
ce,1,7,6,198
ce,1,7,7,2764
ce,1,7,8,115
ce,1,7,9,214
ce,1,8,0,762
ce,1,8,1,339
ce,1,8,2,133
ce,1,8,3,107
ce,1,8,4,26
ce,1,8,5,44
ce,1,8,6,46
ce,1,8,7,45
ce,1,8,8,3274
ce,1,8,9,224
