criterion,epoch,true_class,predicted_class,count
ce,1,0,0,2829
ce,1,0,1,261
ce,1,0,2,352
ce,1,0,3,115
ce,1,0,4,74
ce,1,0,5,67
ce,1,0,6,74
ce,1,0,7,114
ce,1,0,8,829
ce,1,0,9,285
ce,1,1,0,190
ce,1,1,1,3331
ce,1,1,2,45
ce,1,1,3,76
ce,1,1,4,28
ce,1,1,5,47
ce,1,1,6,77
ce,1,1,7,76
ce,1,1,8,318
ce,1,1,9,812
ce,1,2,0,483
ce,1,2,1,70
ce,1,2,2,1797
ce,1,2,3,440
ce,1,2,4,745
ce,1,2,5,406
ce,1,2,6,582
ce,1,2,7,237
ce,1,2,8,144
ce,1,2,9,96
ce,1,3,0,141
ce,1,3,1,90
ce,1,3,2,477
ce,1,3,3,1380
ce,1,3,4,384
ce,1,3,5,1305
ce,1,3,6,625
ce,1,3,7,343
ce,1,3,8,110
ce,1,3,9,145
ce,1,4,0,179
ce,1,4,1,40
ce,1,4,2,762
ce,1,4,3,350
ce,1,4,4,1844
ce,1,4,5,343
ce,1,4,6,731
ce,1,4,7,582
ce,1,4,8,79
ce,1,4,9,90
ce,1,5,0,73
ce,1,5,1,75
ce,1,5,2,355
ce,1,5,3,1098
ce,1,5,4,356
ce,1,5,5,2062
ce,1,5,6,344
ce,1,5,7,470
ce,1,5,8,48
ce,1,5,9,119
ce,1,6,0,61
ce,1,6,1,60
ce,1,6,2,368
ce,1,6,3,376
ce,1,6,4,551
ce,1,6,5,200
ce,1,6,6,3098
ce,1,6,7,147
ce,1,6,8,50
ce,1,6,9,89
ce,1,7,0,118
ce,1,7,1,86
ce,1,7,2,209
ce,1,7,3,330
ce,1,7,4,475
ce,1,7,5,542
ce,1,7,6,273
ce,1,7,7,2680
ce,1,7,8,55
ce,1,7,9,232
ce,1,8,0,808
ce,1,8,1,344
ce,1,8,2,165
ce,1,8,3,85
ce,1,8,4,32
ce,1,8,5,45
ce,1,8,6,51
ce,1,8,7,37
ce,1,8,8,3166
ce,1,8,9,267
ce,1,9,0,220
ce,1,9,1,847
ce,1,9,2,58
ce,1,9,3,84
ce,1,9,4,32
ce,1,9,5,71
ce,1,9,6,97
ce,1,9,7,227
ce,1,9,8,287
ce,1,9,9,3077
ce,2,0,0,3639
ce,2,0,1,120
ce,2,0,2,332
ce,2,0,3,96
ce,2,0,4,99
ce,2,0,5,25
ce,2,0,6,54
ce,2,0,7,71
ce,2,0,8,389
ce,2,0,9,175
ce,2,1,0,94
ce,2,1,1,4289
ce,2,1,2,17
ce,2,1,3,27
ce,2,1,4,12
ce,2,1,5,7
ce,2,1,6,52
ce,2,1,7,26
ce,2,1,8,137
ce,2,1,9,339
ce,2,2,0,382
ce,2,2,1,18
ce,2,2,2,3038
ce,2,2,3,323
ce,2,2,4,443
ce,2,2,5,247
ce,2,2,6,316
ce,2,2,7,132
ce,2,2,8,64
ce,2,2,9,37
ce,2,3,0,87
