criterion,epoch,true_class,predicted_class,count
focal_loss,1,0,0,2533
focal_loss,1,0,1,250
focal_loss,1,0,2,471
focal_loss,1,0,3,107
focal_loss,1,0,4,87
focal_loss,1,0,5,92
focal_loss,1,0,6,75
focal_loss,1,0,7,121
focal_loss,1,0,8,979
focal_loss,1,0,9,285
focal_loss,1,1,0,194
focal_loss,1,1,1,3123
focal_loss,1,1,2,39
focal_loss,1,1,3,69
focal_loss,1,1,4,19
focal_loss,1,1,5,34
focal_loss,1,1,6,83
focal_loss,1,1,7,77
focal_loss,1,1,8,314
focal_loss,1,1,9,1048
focal_loss,1,2,0,441
focal_loss,1,2,1,51
focal_loss,1,2,2,1803
focal_loss,1,2,3,453
focal_loss,1,2,4,746
focal_loss,1,2,5,424
focal_loss,1,2,6,602
focal_loss,1,2,7,240
focal_loss,1,2,8,148
focal_loss,1,2,9,92
focal_loss,1,3,0,133
focal_loss,1,3,1,76
focal_loss,1,3,2,481
focal_loss,1,3,3,1475
focal_loss,1,3,4,319
focal_loss,1,3,5,1252
focal_loss,1,3,6,647
focal_loss,1,3,7,387
focal_loss,1,3,8,91
focal_loss,1,3,9,139
focal_loss,1,4,0,200
focal_loss,1,4,1,35
focal_loss,1,4,2,760
focal_loss,1,4,3,301
focal_loss,1,4,4,1883
focal_loss,1,4,5,334
focal_loss,1,4,6,693
focal_loss,1,4,7,649
focal_loss,1,4,8,59
focal_loss,1,4,9,86
focal_loss,1,5,0,74
focal_loss,1,5,1,58
focal_loss,1,5,2,401
focal_loss,1,5,3,1133
focal_loss,1,5,4,317
focal_loss,1,5,5,2084
focal_loss,1,5,6,289
focal_loss,1,5,7,494
focal_loss,1,5,8,42
focal_loss,1,5,9,108
focal_loss,1,6,0,56
focal_loss,1,6,1,66
focal_loss,1,6,2,430
focal_loss,1,6,3,474
focal_loss,1,6,4,515
focal_loss,1,6,5,180
focal_loss,1,6,6,2996
focal_loss,1,6,7,156
focal_loss,1,6,8,64
focal_loss,1,6,9,63
focal_loss,1,7,0,108
