criterion,epoch,train_accuracy,test_accuracy
focal_loss,1,0.4922,0.5419
focal_loss,2,0.67532,0.6726
focal_loss,3,0.74936,0.7071
focal_loss,4,0.79356,0.7228
focal_loss,5,0.823,0.7411
focal_loss,6,0.84476,0.7494
focal_loss,7,0.86372,0.7701
focal_loss,8,0.88108,0.7617
focal_loss,9,0.89422,0.7855
focal_loss,10,0.90642,0.7965
focal_loss,11,0.91696,0.7985
focal_loss,12,0.92592,0.8118
focal_loss,13,0.93404,0.8089
focal_loss,14,0.93722,0.8131
focal_loss,15,0.94456,0.7993
focal_loss,16,0.94782,0.8134
focal_loss,17,0.94984,0.8064
focal_loss,18,0.95386,0.8242
focal_loss,19,0.95668,0.8138
focal_loss,20,0.96006,0.8081
