criterion,epoch,true_class,predicted_class,count
label_smoothing_ce,1,0,0,2781
label_smoothing_ce,1,0,1,289
label_smoothing_ce,1,0,2,402
label_smoothing_ce,1,0,3,100
label_smoothing_ce,1,0,4,87
label_smoothing_ce,1,0,5,75
label_smoothing_ce,1,0,6,79
label_smoothing_ce,1,0,7,113
label_smoothing_ce,1,0,8,801
label_smoothing_ce,1,0,9,273
label_smoothing_ce,1,1,0,202
label_smoothing_ce,1,1,1,3502
label_smoothing_ce,1,1,2,48
label_smoothing_ce,1,1,3,76
label_smoothing_ce,1,1,4,21
label_smoothing_ce,1,1,5,34
label_smoothing_ce,1,1,6,73
label_smoothing_ce,1,1,7,77
label_smoothing_ce,1,1,8,285
label_smoothing_ce,1,1,9,682
label_smoothing_ce,1,2,0,461
label_smoothing_ce,1,2,1,86
label_smoothing_ce,1,2,2,2007
label_smoothing_ce,1,2,3,439
label_smoothing_ce,1,2,4,637
label_smoothing_ce,1,2,5,385
label_smoothing_ce,1,2,6,525
label_smoothing_ce,1,2,7,228
label_smoothing_ce,1,2,8,156
label_smoothing_ce,1,2,9,76
label_smoothing_ce,1,3,0,123
label_smoothing_ce,1,3,1,95
label_smoothing_ce,1,3,2,446
label_smoothing_ce,1,3,3,1552
label_smoothing_ce,1,3,4,376
label_smoothing_ce,1,3,5,1198
label_smoothing_ce,1,3,6,639
label_smoothing_ce,1,3,7,286
label_smoothing_ce,1,3,8,126
label_smoothing_ce,1,3,9,159
label_smoothing_ce,1,4,0,187
label_smoothing_ce,1,4,1,59
label_smoothing_ce,1,4,2,617
label_smoothing_ce,1,4,3,362
label_smoothing_ce,1,4,4,2058
label_smoothing_ce,1,4,5,285
label_smoothing_ce,1,4,6,682
label_smoothing_ce,1,4,7,567
label_smoothing_ce,1,4,8,84
label_smoothing_ce,1,4,9,99
label_smoothing_ce,1,5,0,77
label_smoothing_ce,1,5,1,85
label_smoothing_ce,1,5,2,382
label_smoothing_ce,1,5,3,1058
label_smoothing_ce,1,5,4,375
label_smoothing_ce,1,5,5,2076
label_smoothing_ce,1,5,6,339
label_smoothing_ce,1,5,7,433
label_smoothing_ce,1,5,8,58
label_smoothing_ce,1,5,9,117
label_smoothing_ce,1,6,0,68
label_smoothing_ce,1,6,1,82
label_smoothing_ce,1,6,2,362
label_smoothing_ce,1,6,3,448
label_smoothing_ce,1,6,4,502
label_smoothing_ce,1,6,5,164
label_smoothing_ce,1,6,6,3139
label_smoothing_ce,1,6,7,125
label_smoothing_ce,1,6,8,51
label_smoothing_ce,1,6,9,59
label_smoothing_ce,1,7,0,90
label_smoothing_ce,1,7,1,98
label_smoothing_ce,1,7,2,193
label_smoothing_ce,1,7,3,281
label_smoothing_ce,1,7,4,452
label_smoothing_ce,1,7,5,567
label_smoothing_ce,1,7,6,169
label_smoothing_ce,1,7,7,2847
label_smoothing_ce,1,7,8,60
label_smoothing_ce,1,7,9,243
label_smoothing_ce,1,8,0,762
label_smoothing_ce,1,8,1,373
label_smoothing_ce,1,8,2,129
label_smoothing_ce,1,8,3,121
label_smoothing_ce,1,8,4,46
label_smoothing_ce,1,8,5,31
label_smoothing_ce,1,8,6,48
label_smoothing_ce,1,8,7,38
label_smoothing_ce,1,8,8,3154
label_smoothing_ce,1,8,9,298
label_smoothing_ce,1,9,0,201
label_smoothing_ce,1,9,1,729
label_smoothing_ce,1,9,2,41
label_smoothing_ce,1,9,3,102
label_smoothing_ce,1,9,4,35
label_smoothing_ce,1,9,5,58
label_smoothing_ce,1,9,6,55
label_smoothing_ce,1,9,7,217
label_smoothing_ce,1,9,8,284
label_smoothing_ce,1,9,9,3278
label_smoothing_ce,2,0,0,3737
label_smoothing_ce,2,0,1,101
label_smoothing_ce,2,0,2,280
label_smoothing_ce,2,0,3,108
label_smoothing_ce,2,0,4,115
label_smoothing_ce,2,0,5,22
label_smoothing_ce,2,0,6,51
label_smoothing_ce,2,0,7,88
label_smoothing_ce,2,0,8,355
label_smoothing_ce,2,0,9,143
label_smoothing_ce,2,1,0,95
label_smoothing_ce,2,1,1,4319
label_smoothing_ce,2,1,2,23
label_smoothing_ce,2,1,3,26
label_smoothing_ce,2,1,4,13
label_smoothing_ce,2,1,5,14
label_smoothing_ce,2,1,6,47
label_smoothing_ce,2,1,7,22
label_smoothing_ce,2,1,8,128
label_smoothing_ce,2,1,9,313
label_smoothing_ce,2,2,0,346
label_smoothing_ce,2,2,1,29
label_smoothing_ce,2,2,2,3000
label_smoothing_ce,2,2,3,341
label_smoothing_ce,2,2,4,444
label_smoothing_ce,2,2,5,272
label_smoothing_ce,2,2,6,344
label_smoothing_ce,2,2,7,124
label_smoothing_ce,2,2,8,60
label_smoothing_ce,2,2,9,40
label_smoothing_ce,2,3,0,91
label_smoothing_ce,2,3,1,30
label_smoothing_ce,2,3,2,334
label_smoothing_ce,2,3,3,2601
label_smoothing_ce,2,3,4,319
label_smoothing_ce,2,3,5,870
label_smoothing_ce,2,3,6,405
label_smoothing_ce,2,3,7,170
label_smoothing_ce,2,3,8,99
label_smoothing_ce,2,3,9,81
label_smoothing_ce,2,4,0,138
label_smoothing_ce,2,4,1,19
label_smoothing_ce,2,4,2,338
label_smoothing_ce,2,4,3,304
label_smoothing_ce,2,4,4,3356
label_smoothing_ce,2,4,5,134
label_smoothing_ce,2,4,6,278
label_smoothing_ce,2,4,7,363
label_smoothing_ce,2,4,8,38
label_smoothing_ce,2,4,9,32
label_smoothing_ce,2,5,0,35
label_smoothing_ce,2,5,1,25
label_smoothing_ce,2,5,2,302
label_smoothing_ce,2,5,3,980
label_smoothing_ce,2,5,4,261
label_smoothing_ce,2,5,5,2849
label_smoothing_ce,2,5,6,163
label_smoothing_ce,2,5,7,315
label_smoothing_ce,2,5,8,23
label_smoothing_ce,2,5,9,47
label_smoothing_ce,2,6,0,56
label_smoothing_ce,2,6,1,36
label_smoothing_ce,2,6,2,266
label_smoothing_ce,2,6,3,319
label_smoothing_ce,2,6,4,271
label_smoothing_ce,2,6,5,107
label_smoothing_ce,2,6,6,3852
label_smoothing_ce,2,6,7,33
label_smoothing_ce,2,6,8,41
label_smoothing_ce,2,6,9,19
label_smoothing_ce,2,7,0,86
label_smoothing_ce,2,7,1,20
label_smoothing_ce,2,7,2,175
label_smoothing_ce,2,7,3,188
label_smoothing_ce,2,7,4,346
label_smoothing_ce,2,7,5,360
label_smoothing_ce,2,7,6,50
label_smoothing_ce,2,7,7,3665
label_smoothing_ce,2,7,8,25
label_smoothing_ce,2,7,9,85
label_smoothing_ce,2,8,0,323
label_smoothing_ce,2,8,1,134
label_smoothing_ce,2,8,2,61
label_smoothing_ce,2,8,3,85
label_smoothing_ce,2,8,4,42
label_smoothing_ce,2,8,5,16
label_smoothing_ce,2,8,6,35
label_smoothing_ce,2,8,7,15
label_smoothing_ce,2,8,8,4152
label_smoothing_ce,2,8,9,137
label_smoothing_ce,2,9,0,122
label_smoothing_ce,2,9,1,338
label_smoothing_ce,2,9,2,20
label_smoothing_ce,2,9,3,60
label_smoothing_ce,2,9,4,27
label_smoothing_ce,2,9,5,23
label_smoothing_ce,2,9,6,35
label_smoothing_ce,2,9,7,92
label_smoothing_ce,2,9,8,135
label_smoothing_ce,2,9,9,4148
label_smoothing_ce,3,0,0,4043
label_smoothing_ce,3,0,1,64
label_smoothing_ce,3,0,2,211
label_smoothing_ce,3,0,3,86
label_smoothing_ce,3,0,4,112
label_smoothing_ce,3,0,5,16
label_smoothing_ce,3,0,6,39
label_smoothing_ce,3,0,7,52
label_smoothing_ce,3,0,8,262
label_smoothing_ce,3,0,9,115
label_smoothing_ce,3,1,0,58
label_smoothing_ce,3,1,1,4531
label_smoothing_ce,3,1,2,13
label_smoothing_ce,3,1,3,27
label_smoothing_ce,3,1,4,5
label_smoothing_ce,3,1,5,11
label_smoothing_ce,3,1,6,23
