criterion,epoch,train_accuracy,test_accuracy
label_smoothing_ce,1,0.51946,0.5881
label_smoothing_ce,2,0.71352,0.6953
label_smoothing_ce,3,0.78514,0.75
label_smoothing_ce,4,0.83002,0.7575
label_smoothing_ce,5,0.8591,0.7639
label_smoothing_ce,6,0.87806,0.7496
label_smoothing_ce,7,0.89696,0.7791
label_smoothing_ce,8,0.9113,0.7954
label_smoothing_ce,9,0.92422,0.7652
label_smoothing_ce,10,0.93038,0.7864
label_smoothing_ce,11,0.94104,0.805
label_smoothing_ce,12,0.94528,0.7986
label_smoothing_ce,13,0.95332,0.8039
label_smoothing_ce,14,0.95556,0.8164
label_smoothing_ce,15,0.9607,0.8114
label_smoothing_ce,16,0.96066,0.8211
label_smoothing_ce,17,0.96406,0.8171
label_smoothing_ce,18,0.96704,0.8298
label_smoothing_ce,19,0.96812,0.8118
label_smoothing_ce,20,0.97064,0.8269
