criterion,epoch,train_accuracy,test_accuracy
ce,1,0.5496438356164384,0.3306
ce,2,0.6984657534246576,0.534
ce,3,0.7666301369863013,0.632
ce,4,0.8104931506849316,0.6299
ce,5,0.8403287671232876,0.6375
ce,6,0.8641917808219178,0.67
ce,7,0.8801095890410959,0.6721
ce,8,0.8976986301369863,0.6963
ce,9,0.9130410958904109,0.6912
ce,10,0.9218082191780822,0.6856
ce,11,0.934958904109589,0.6484
ce,12,0.9426849315068493,0.708
ce,13,0.9478630136986301,0.7064
ce,14,0.9565753424657534,0.7045
ce,15,0.9582465753424657,0.7222
ce,16,0.9616986301369863,0.7182
ce,17,0.9625205479452055,0.7413
ce,18,0.968986301369863,0.7286
ce,19,0.9693150684931506,0.7283
ce,20,0.9696712328767123,0.7591
