criterion,epoch,true_class,predicted_class,count
ce,1,0,0,438
ce,1,0,1,0
ce,1,0,2,2
ce,1,0,3,0
ce,1,0,4,34
ce,1,0,5,1
ce,1,0,6,8
ce,1,0,7,16
ce,1,0,8,1
ce,1,0,9,0
ce,1,1,0,497
ce,1,1,1,3
ce,1,1,2,0
ce,1,1,3,0
ce,1,1,4,0
ce,1,1,5,0
ce,1,1,6,0
ce,1,1,7,0
ce,1,1,8,0
ce,1,1,9,0
ce,1,2,0,67
ce,1,2,1,433
ce,1,2,2,0
ce,1,2,3,0
ce,1,2,4,0
ce,1,2,5,0
ce,1,2,6,0
ce,1,2,7,0
ce,1,2,8,0
ce,1,2,9,0
ce,1,3,0,0
ce,1,3,1,353
ce,1,3,2,142
ce,1,3,3,2
ce,1,3,4,3
ce,1,3,5,0
ce,1,3,6,0
ce,1,3,7,0
ce,1,3,8,0
ce,1,3,9,0
ce,1,4,0,0
ce,1,4,1,0
ce,1,4,2,160
ce,1,4,3,338
ce,1,4,4,2
ce,1,4,5,0
ce,1,4,6,0
ce,1,4,7,0
ce,1,4,8,0
ce,1,4,9,0
ce,1,5,0,0
ce,1,5,1,8
ce,1,5,2,0
ce,1,5,3,216
ce,1,5,4,602
ce,1,5,5,4173
ce,1,5,6,0
ce,1,5,7,1
ce,1,5,8,0
ce,1,5,9,0
ce,1,6,0,0
ce,1,6,1,1
ce,1,6,2,0
ce,1,6,3,1
ce,1,6,4,0
ce,1,6,5,621
ce,1,6,6,4374
ce,1,6,7,3
ce,1,6,8,0
ce,1,6,9,0
ce,1,7,0,1
ce,1,7,1,0
ce,1,7,2,0
ce,1,7,3,0
ce,1,7,4,0
ce,1,7,5,2
ce,1,7,6,536
ce,1,7,7,4452
ce,1,7,8,9
ce,1,7,9,0
ce,1,8,0,0
ce,1,8,1,77
ce,1,8,2,12
ce,1,8,3,3
ce,1,8,4,4
ce,1,8,5,33
ce,1,8,6,5
ce,1,8,7,423
ce,1,8,8,4415
ce,1,8,9,28
ce,1,9,0,0
ce,1,9,1,0
ce,1,9,2,1
ce,1,9,3,8
ce,1,9,4,8
ce,1,9,5,37
ce,1,9,6,13
ce,1,9,7,4
ce,1,9,8,430
ce,1,9,9,4499
ce,2,0,0,199
ce,2,0,1,1
ce,2,0,2,4
ce,2,0,3,0
ce,2,0,4,1
ce,2,0,5,0
ce,2,0,6,0
ce,2,0,7,0
ce,2,0,8,1
ce,2,0,9,294
ce,2,1,0,451
ce,2,1,1,8
ce,2,1,2,9
ce,2,1,3,2
ce,2,1,4,4
ce,2,1,5,0
ce,2,1,6,0
ce,2,1,7,3
ce,2,1,8,3
ce,2,1,9,20
ce,2,2,0,338
ce,2,2,1,79
ce,2,2,2,7
ce,2,2,3,7
ce,2,2,4,1
ce,2,2,5,0
ce,2,2,6,1
