criterion,epoch,train_accuracy,test_accuracy
class_balanced_loss,1,0.4287945205479452,0.3584
class_balanced_loss,2,0.5747123287671233,0.5362
class_balanced_loss,3,0.6528767123287671,0.5453
class_balanced_loss,4,0.7077260273972603,0.6425
class_balanced_loss,5,0.7483013698630137,0.6632
class_balanced_loss,6,0.781945205479452,0.6563
class_balanced_loss,7,0.8044109589041096,0.6609
class_balanced_loss,8,0.8164931506849316,0.6444
class_balanced_loss,9,0.8416986301369863,0.7208
class_balanced_loss,10,0.8555890410958904,0.7129
class_balanced_loss,11,0.8558904109589041,0.735
class_balanced_loss,12,0.8783835616438356,0.7251
class_balanced_loss,13,0.8860821917808219,0.7265
class_balanced_loss,14,0.9013424657534247,0.7141
class_balanced_loss,15,0.8958630136986301,0.7304
class_balanced_loss,16,0.9145205479452054,0.7334
class_balanced_loss,17,0.9201369863013699,0.7411
class_balanced_loss,18,0.9224109589041096,0.6247
class_balanced_loss,19,0.924054794520548,0.7439
class_balanced_loss,20,0.9432876712328767,0.7299
