criterion,epoch,true_class,predicted_class,count
class_balanced_loss,1,0,0,118
class_balanced_loss,1,0,1,33
class_balanced_loss,1,0,2,19
class_balanced_loss,1,0,3,20
class_balanced_loss,1,0,4,15
class_balanced_loss,1,0,5,18
class_balanced_loss,1,0,6,7
class_balanced_loss,1,0,7,17
class_balanced_loss,1,0,8,214
class_balanced_loss,1,0,9,39
class_balanced_loss,1,1,0,13
class_balanced_loss,1,1,1,130
class_balanced_loss,1,1,2,8
class_balanced_loss,1,1,3,14
class_balanced_loss,1,1,4,4
class_balanced_loss,1,1,5,4
class_balanced_loss,1,1,6,18
class_balanced_loss,1,1,7,17
class_balanced_loss,1,1,8,85
class_balanced_loss,1,1,9,207
class_balanced_loss,1,2,0,28
class_balanced_loss,1,2,1,10
class_balanced_loss,1,2,2,55
class_balanced_loss,1,2,3,54
class_balanced_loss,1,2,4,129
class_balanced_loss,1,2,5,51
class_balanced_loss,1,2,6,78
class_balanced_loss,1,2,7,31
class_balanced_loss,1,2,8,46
class_balanced_loss,1,2,9,18
class_balanced_loss,1,3,0,153
class_balanced_loss,1,3,1,61
class_balanced_loss,1,3,2,274
class_balanced_loss,1,3,3,1203
class_balanced_loss,1,3,4,437
class_balanced_loss,1,3,5,1417
class_balanced_loss,1,3,6,605
class_balanced_loss,1,3,7,456
class_balanced_loss,1,3,8,188
class_balanced_loss,1,3,9,206
class_balanced_loss,1,4,0,166
class_balanced_loss,1,4,1,31
class_balanced_loss,1,4,2,423
class_balanced_loss,1,4,3,409
class_balanced_loss,1,4,4,1711
class_balanced_loss,1,4,5,421
class_balanced_loss,1,4,6,891
class_balanced_loss,1,4,7,625
class_balanced_loss,1,4,8,205
class_balanced_loss,1,4,9,118
class_balanced_loss,1,5,0,116
class_balanced_loss,1,5,1,43
class_balanced_loss,1,5,2,232
class_balanced_loss,1,5,3,1088
class_balanced_loss,1,5,4,439
class_balanced_loss,1,5,5,1870
class_balanced_loss,1,5,6,377
class_balanced_loss,1,5,7,561
class_balanced_loss,1,5,8,126
class_balanced_loss,1,5,9,148
class_balanced_loss,1,6,0,61
class_balanced_loss,1,6,1,61
class_balanced_loss,1,6,2,259
class_balanced_loss,1,6,3,442
class_balanced_loss,1,6,4,790
class_balanced_loss,1,6,5,342
class_balanced_loss,1,6,6,2537
class_balanced_loss,1,6,7,253
class_balanced_loss,1,6,8,91
class_balanced_loss,1,6,9,164
class_balanced_loss,1,7,0,108
class_balanced_loss,1,7,1,63
class_balanced_loss,1,7,2,156
class_balanced_loss,1,7,3,406
class_balanced_loss,1,7,4,527
class_balanced_loss,1,7,5,666
class_balanced_loss,1,7,6,284
class_balanced_loss,1,7,7,2288
class_balanced_loss,1,7,8,126
class_balanced_loss,1,7,9,376
class_balanced_loss,1,8,0,593
class_balanced_loss,1,8,1,356
class_balanced_loss,1,8,2,143
class_balanced_loss,1,8,3,136
class_balanced_loss,1,8,4,80
class_balanced_loss,1,8,5,83
class_balanced_loss,1,8,6,57
class_balanced_loss,1,8,7,62
class_balanced_loss,1,8,8,3045
class_balanced_loss,1,8,9,445
class_balanced_loss,1,9,0,163
class_balanced_loss,1,9,1,794
class_balanced_loss,1,9,2,79
class_balanced_loss,1,9,3,111
class_balanced_loss,1,9,4,40
class_balanced_loss,1,9,5,75
class_balanced_loss,1,9,6,125
class_balanced_loss,1,9,7,289
class_balanced_loss,1,9,8,579
class_balanced_loss,1,9,9,2745
class_balanced_loss,2,0,0,229
class_balanced_loss,2,0,1,22
class_balanced_loss,2,0,2,37
class_balanced_loss,2,0,3,19
class_balanced_loss,2,0,4,15
class_balanced_loss,2,0,5,8
class_balanced_loss,2,0,6,6
class_balanced_loss,2,0,7,8
class_balanced_loss,2,0,8,132
class_balanced_loss,2,0,9,24
class_balanced_loss,2,1,0,11
class_balanced_loss,2,1,1,315
class_balanced_loss,2,1,2,0
class_balanced_loss,2,1,3,10
class_balanced_loss,2,1,4,7
class_balanced_loss,2,1,5,4
class_balanced_loss,2,1,6,10
class_balanced_loss,2,1,7,9
class_balanced_loss,2,1,8,32
class_balanced_loss,2,1,9,102
class_balanced_loss,2,2,0,32
class_balanced_loss,2,2,1,4
class_balanced_loss,2,2,2,139
class_balanced_loss,2,2,3,53
class_balanced_loss,2,2,4,113
class_balanced_loss,2,2,5,49
class_balanced_loss,2,2,6,57
class_balanced_loss,2,2,7,24
class_balanced_loss,2,2,8,23
class_balanced_loss,2,2,9,6
class_balanced_loss,2,3,0,110
class_balanced_loss,2,3,1,48
class_balanced_loss,2,3,2,301
class_balanced_loss,2,3,3,1714
class_balanced_loss,2,3,4,301
class_balanced_loss,2,3,5,1417
class_balanced_loss,2,3,6,622
class_balanced_loss,2,3,7,229
class_balanced_loss,2,3,8,139
class_balanced_loss,2,3,9,119
