criterion,epoch,true_class,predicted_class,count
focal_loss,1,0,0,17
focal_loss,1,0,1,1
focal_loss,1,0,2,3
focal_loss,1,0,3,35
focal_loss,1,0,4,49
focal_loss,1,0,5,21
focal_loss,1,0,6,18
focal_loss,1,0,7,29
focal_loss,1,0,8,269
focal_loss,1,0,9,58
focal_loss,1,1,0,0
focal_loss,1,1,1,6
focal_loss,1,1,2,2
focal_loss,1,1,3,17
focal_loss,1,1,4,3
focal_loss,1,1,5,9
focal_loss,1,1,6,26
focal_loss,1,1,7,13
focal_loss,1,1,8,88
focal_loss,1,1,9,336
focal_loss,1,2,0,6
focal_loss,1,2,1,0
focal_loss,1,2,2,4
focal_loss,1,2,3,102
focal_loss,1,2,4,132
focal_loss,1,2,5,69
focal_loss,1,2,6,83
focal_loss,1,2,7,44
focal_loss,1,2,8,39
focal_loss,1,2,9,21
focal_loss,1,3,0,5
focal_loss,1,3,1,0
focal_loss,1,3,2,8
focal_loss,1,3,3,1716
focal_loss,1,3,4,459
focal_loss,1,3,5,1410
focal_loss,1,3,6,619
focal_loss,1,3,7,348
focal_loss,1,3,8,223
focal_loss,1,3,9,212
focal_loss,1,4,0,9
focal_loss,1,4,1,0
focal_loss,1,4,2,12
focal_loss,1,4,3,507
focal_loss,1,4,4,2334
focal_loss,1,4,5,362
focal_loss,1,4,6,691
focal_loss,1,4,7,728
focal_loss,1,4,8,228
focal_loss,1,4,9,129
focal_loss,1,5,0,1
focal_loss,1,5,1,1
focal_loss,1,5,2,5
focal_loss,1,5,3,1398
focal_loss,1,5,4,429
focal_loss,1,5,5,2126
focal_loss,1,5,6,309
focal_loss,1,5,7,482
focal_loss,1,5,8,102
focal_loss,1,5,9,147
focal_loss,1,6,0,1
focal_loss,1,6,1,2
focal_loss,1,6,2,6
focal_loss,1,6,3,555
focal_loss,1,6,4,621
focal_loss,1,6,5,225
focal_loss,1,6,6,3221
focal_loss,1,6,7,160
focal_loss,1,6,8,89
focal_loss,1,6,9,120
focal_loss,1,7,0,1
focal_loss,1,7,1,0
focal_loss,1,7,2,5
focal_loss,1,7,3,405
focal_loss,1,7,4,647
focal_loss,1,7,5,565
focal_loss,1,7,6,161
focal_loss,1,7,7,2770
focal_loss,1,7,8,102
focal_loss,1,7,9,344
focal_loss,1,8,0,26
focal_loss,1,8,1,12
focal_loss,1,8,2,10
focal_loss,1,8,3,215
focal_loss,1,8,4,126
focal_loss,1,8,5,41
