criterion,epoch,true_class,predicted_class,count
label_smoothing_ce,1,0,0,5
label_smoothing_ce,1,0,1,2
label_smoothing_ce,1,0,2,0
label_smoothing_ce,1,0,3,34
label_smoothing_ce,1,0,4,56
label_smoothing_ce,1,0,5,22
label_smoothing_ce,1,0,6,24
label_smoothing_ce,1,0,7,18
label_smoothing_ce,1,0,8,270
label_smoothing_ce,1,0,9,69
label_smoothing_ce,1,1,0,0
label_smoothing_ce,1,1,1,6
label_smoothing_ce,1,1,2,0
label_smoothing_ce,1,1,3,21
label_smoothing_ce,1,1,4,8
label_smoothing_ce,1,1,5,6
label_smoothing_ce,1,1,6,30
label_smoothing_ce,1,1,7,19
label_smoothing_ce,1,1,8,103
label_smoothing_ce,1,1,9,307
label_smoothing_ce,1,2,0,2
label_smoothing_ce,1,2,1,0
label_smoothing_ce,1,2,2,0
label_smoothing_ce,1,2,3,92
label_smoothing_ce,1,2,4,141
label_smoothing_ce,1,2,5,78
label_smoothing_ce,1,2,6,80
label_smoothing_ce,1,2,7,44
label_smoothing_ce,1,2,8,46
label_smoothing_ce,1,2,9,17
label_smoothing_ce,1,3,0,0
label_smoothing_ce,1,3,1,0
label_smoothing_ce,1,3,2,1
label_smoothing_ce,1,3,3,1634
label_smoothing_ce,1,3,4,513
label_smoothing_ce,1,3,5,1391
label_smoothing_ce,1,3,6,686
label_smoothing_ce,1,3,7,333
label_smoothing_ce,1,3,8,212
label_smoothing_ce,1,3,9,230
label_smoothing_ce,1,4,0,3
label_smoothing_ce,1,4,1,0
label_smoothing_ce,1,4,2,0
label_smoothing_ce,1,4,3,443
label_smoothing_ce,1,4,4,2410
label_smoothing_ce,1,4,5,380
label_smoothing_ce,1,4,6,768
label_smoothing_ce,1,4,7,636
label_smoothing_ce,1,4,8,230
label_smoothing_ce,1,4,9,130
label_smoothing_ce,1,5,0,1
label_smoothing_ce,1,5,1,0
label_smoothing_ce,1,5,2,1
label_smoothing_ce,1,5,3,1188
label_smoothing_ce,1,5,4,462
label_smoothing_ce,1,5,5,2309
label_smoothing_ce,1,5,6,325
label_smoothing_ce,1,5,7,460
label_smoothing_ce,1,5,8,122
label_smoothing_ce,1,5,9,132
label_smoothing_ce,1,6,0,1
label_smoothing_ce,1,6,1,0
label_smoothing_ce,1,6,2,1
label_smoothing_ce,1,6,3,524
label_smoothing_ce,1,6,4,651
label_smoothing_ce,1,6,5,197
label_smoothing_ce,1,6,6,3243
label_smoothing_ce,1,6,7,151
label_smoothing_ce,1,6,8,105
label_smoothing_ce,1,6,9,127
label_smoothing_ce,1,7,0,0
label_smoothing_ce,1,7,1,0
label_smoothing_ce,1,7,2,0
label_smoothing_ce,1,7,3,399
label_smoothing_ce,1,7,4,598
label_smoothing_ce,1,7,5,573
label_smoothing_ce,1,7,6,246
label_smoothing_ce,1,7,7,2689
label_smoothing_ce,1,7,8,128
label_smoothing_ce,1,7,9,367
label_smoothing_ce,1,8,0,1
label_smoothing_ce,1,8,1,0
label_smoothing_ce,1,8,2,0
label_smoothing_ce,1,8,3,159
label_smoothing_ce,1,8,4,116
label_smoothing_ce,1,8,5,60
label_smoothing_ce,1,8,6,66
label_smoothing_ce,1,8,7,59
label_smoothing_ce,1,8,8,4015
label_smoothing_ce,1,8,9,524
label_smoothing_ce,1,9,0,1
label_smoothing_ce,1,9,1,4
label_smoothing_ce,1,9,2,0
label_smoothing_ce,1,9,3,125
label_smoothing_ce,1,9,4,72
label_smoothing_ce,1,9,5,63
label_smoothing_ce,1,9,6,103
label_smoothing_ce,1,9,7,282
label_smoothing_ce,1,9,8,589
label_smoothing_ce,1,9,9,3761
label_smoothing_ce,2,0,0,73
label_smoothing_ce,2,0,1,10
label_smoothing_ce,2,0,2,6
label_smoothing_ce,2,0,3,29
label_smoothing_ce,2,0,4,68
label_smoothing_ce,2,0,5,11
label_smoothing_ce,2,0,6,19
label_smoothing_ce,2,0,7,19
label_smoothing_ce,2,0,8,203
label_smoothing_ce,2,0,9,62
label_smoothing_ce,2,1,0,3
label_smoothing_ce,2,1,1,125
label_smoothing_ce,2,1,2,0
label_smoothing_ce,2,1,3,18
label_smoothing_ce,2,1,4,10
label_smoothing_ce,2,1,5,4
label_smoothing_ce,2,1,6,20
label_smoothing_ce,2,1,7,11
label_smoothing_ce,2,1,8,79
label_smoothing_ce,2,1,9,230
label_smoothing_ce,2,2,0,14
label_smoothing_ce,2,2,1,0
label_smoothing_ce,2,2,2,11
label_smoothing_ce,2,2,3,102
label_smoothing_ce,2,2,4,148
label_smoothing_ce,2,2,5,77
label_smoothing_ce,2,2,6,80
label_smoothing_ce,2,2,7,33
label_smoothing_ce,2,2,8,28
label_smoothing_ce,2,2,9,7
label_smoothing_ce,2,3,0,7
label_smoothing_ce,2,3,1,1
label_smoothing_ce,2,3,2,9
label_smoothing_ce,2,3,3,2768
label_smoothing_ce,2,3,4,343
label_smoothing_ce,2,3,5,909
label_smoothing_ce,2,3,6,501
label_smoothing_ce,2,3,7,226
label_smoothing_ce,2,3,8,134
label_smoothing_ce,2,3,9,102
label_smoothing_ce,2,4,0,17
label_smoothing_ce,2,4,1,1
label_smoothing_ce,2,4,2,2
label_smoothing_ce,2,4,3,317
label_smoothing_ce,2,4,4,3524
label_smoothing_ce,2,4,5,164
label_smoothing_ce,2,4,6,368
label_smoothing_ce,2,4,7,453
label_smoothing_ce,2,4,8,102
label_smoothing_ce,2,4,9,52
label_smoothing_ce,2,5,0,2
label_smoothing_ce,2,5,1,2
label_smoothing_ce,2,5,2,2
label_smoothing_ce,2,5,3,1154
label_smoothing_ce,2,5,4,287
label_smoothing_ce,2,5,5,2957
label_smoothing_ce,2,5,6,138
label_smoothing_ce,2,5,7,347
label_smoothing_ce,2,5,8,48
label_smoothing_ce,2,5,9,63
label_smoothing_ce,2,6,0,3
label_smoothing_ce,2,6,1,7
label_smoothing_ce,2,6,2,0
label_smoothing_ce,2,6,3,462
label_smoothing_ce,2,6,4,363
label_smoothing_ce,2,6,5,97
label_smoothing_ce,2,6,6,3914
label_smoothing_ce,2,6,7,44
label_smoothing_ce,2,6,8,64
label_smoothing_ce,2,6,9,46
label_smoothing_ce,2,7,0,2
label_smoothing_ce,2,7,1,1
label_smoothing_ce,2,7,2,1
label_smoothing_ce,2,7,3,315
label_smoothing_ce,2,7,4,437
label_smoothing_ce,2,7,5,333
label_smoothing_ce,2,7,6,45
label_smoothing_ce,2,7,7,3720
label_smoothing_ce,2,7,8,44
label_smoothing_ce,2,7,9,102
label_smoothing_ce,2,8,0,28
label_smoothing_ce,2,8,1,22
label_smoothing_ce,2,8,2,1
label_smoothing_ce,2,8,3,125
label_smoothing_ce,2,8,4,81
label_smoothing_ce,2,8,5,21
label_smoothing_ce,2,8,6,42
label_smoothing_ce,2,8,7,35
label_smoothing_ce,2,8,8,4433
label_smoothing_ce,2,8,9,212
label_smoothing_ce,2,9,0,6
label_smoothing_ce,2,9,1,62
label_smoothing_ce,2,9,2,0
label_smoothing_ce,2,9,3,105
label_smoothing_ce,2,9,4,45
label_smoothing_ce,2,9,5,46
label_smoothing_ce,2,9,6,45
label_smoothing_ce,2,9,7,82
label_smoothing_ce,2,9,8,234
label_smoothing_ce,2,9,9,4375
label_smoothing_ce,3,0,0,149
label_smoothing_ce,3,0,1,8
label_smoothing_ce,3,0,2,17
label_smoothing_ce,3,0,3,35
label_smoothing_ce,3,0,4,54
label_smoothing_ce,3,0,5,7
label_smoothing_ce,3,0,6,15
label_smoothing_ce,3,0,7,19
label_smoothing_ce,3,0,8,139
label_smoothing_ce,3,0,9,57
label_smoothing_ce,3,1,0,4
label_smoothing_ce,3,1,1,253
label_smoothing_ce,3,1,2,0
label_smoothing_ce,3,1,3,9
label_smoothing_ce,3,1,4,6
label_smoothing_ce,3,1,5,2
label_smoothing_ce,3,1,6,18
label_smoothing_ce,3,1,7,5
label_smoothing_ce,3,1,8,60
label_smoothing_ce,3,1,9,143
label_smoothing_ce,3,2,0,13
label_smoothing_ce,3,2,1,1
label_smoothing_ce,3,2,2,54
label_smoothing_ce,3,2,3,102
label_smoothing_ce,3,2,4,117
label_smoothing_ce,3,2,5,59
label_smoothing_ce,3,2,6,90
label_smoothing_ce,3,2,7,26
label_smoothing_ce,3,2,8,27
label_smoothing_ce,3,2,9,11
label_smoothing_ce,3,3,0,12
label_smoothing_ce,3,3,1,3
label_smoothing_ce,3,3,2,13
label_smoothing_ce,3,3,3,3175
label_smoothing_ce,3,3,4,297
label_smoothing_ce,3,3,5,772
label_smoothing_ce,3,3,6,378
label_smoothing_ce,3,3,7,176
label_smoothing_ce,3,3,8,106
label_smoothing_ce,3,3,9,68
label_smoothing_ce,3,4,0,22
label_smoothing_ce,3,4,1,2
label_smoothing_ce,3,4,2,10
label_smoothing_ce,3,4,3,266
label_smoothing_ce,3,4,4,3974
label_smoothing_ce,3,4,5,107
label_smoothing_ce,3,4,6,236
label_smoothing_ce,3,4,7,307
label_smoothing_ce,3,4,8,52
label_smoothing_ce,3,4,9,24
label_smoothing_ce,3,5,0,3
label_smoothing_ce,3,5,1,3
label_smoothing_ce,3,5,2,2
label_smoothing_ce,3,5,3,910
label_smoothing_ce,3,5,4,210
label_smoothing_ce,3,5,5,3404
label_smoothing_ce,3,5,6,125
label_smoothing_ce,3,5,7,275
label_smoothing_ce,3,5,8,29
label_smoothing_ce,3,5,9,39
label_smoothing_ce,3,6,0,3
label_smoothing_ce,3,6,1,8
label_smoothing_ce,3,6,2,9
label_smoothing_ce,3,6,3,328
label_smoothing_ce,3,6,4,223
label_smoothing_ce,3,6,5,87
label_smoothing_ce,3,6,6,4230
label_smoothing_ce,3,6,7,40
label_smoothing_ce,3,6,8,49
label_smoothing_ce,3,6,9,23
label_smoothing_ce,3,7,0,2
label_smoothing_ce,3,7,1,1
label_smoothing_ce,3,7,2,3
label_smoothing_ce,3,7,3,261
label_smoothing_ce,3,7,4,278
label_smoothing_ce,3,7,5,220
label_smoothing_ce,3,7,6,41
label_smoothing_ce,3,7,7,4101
label_smoothing_ce,3,7,8,30
label_smoothing_ce,3,7,9,63
label_smoothing_ce,3,8,0,42
label_smoothing_ce,3,8,1,23
label_smoothing_ce,3,8,2,2
label_smoothing_ce,3,8,3,93
label_smoothing_ce,3,8,4,38
label_smoothing_ce,3,8,5,17
label_smoothing_ce,3,8,6,32
label_smoothing_ce,3,8,7,25
label_smoothing_ce,3,8,8,4560
label_smoothing_ce,3,8,9,168
label_smoothing_ce,3,9,0,6
label_smoothing_ce,3,9,1,56
label_smoothing_ce,3,9,2,1
label_smoothing_ce,3,9,3,75
label_smoothing_ce,3,9,4,32
label_smoothing_ce,3,9,5,20
label_smoothing_ce,3,9,6,29
label_smoothing_ce,3,9,7,64
label_smoothing_ce,3,9,8,179
label_smoothing_ce,3,9,9,4538
label_smoothing_ce,4,0,0,216
label_smoothing_ce,4,0,1,6
label_smoothing_ce,4,0,2,11
label_smoothing_ce,4,0,3,40
label_smoothing_ce,4,0,4,38
label_smoothing_ce,4,0,5,3
label_smoothing_ce,4,0,6,14
label_smoothing_ce,4,0,7,16
label_smoothing_ce,4,0,8,105
label_smoothing_ce,4,0,9,51
label_smoothing_ce,4,1,0,5
label_smoothing_ce,4,1,1,319
label_smoothing_ce,4,1,2,0
label_smoothing_ce,4,1,3,11
label_smoothing_ce,4,1,4,6
label_smoothing_ce,4,1,5,3
label_smoothing_ce,4,1,6,12
label_smoothing_ce,4,1,7,3
label_smoothing_ce,4,1,8,33
label_smoothing_ce,4,1,9,108
label_smoothing_ce,4,2,0,21
label_smoothing_ce,4,2,1,1
label_smoothing_ce,4,2,2,99
label_smoothing_ce,4,2,3,92
label_smoothing_ce,4,2,4,93
label_smoothing_ce,4,2,5,61
label_smoothing_ce,4,2,6,85
label_smoothing_ce,4,2,7,28
label_smoothing_ce,4,2,8,16
label_smoothing_ce,4,2,9,4
label_smoothing_ce,4,3,0,14
label_smoothing_ce,4,3,1,2
label_smoothing_ce,4,3,2,11
label_smoothing_ce,4,3,3,3471
label_smoothing_ce,4,3,4,242
label_smoothing_ce,4,3,5,670
label_smoothing_ce,4,3,6,313
label_smoothing_ce,4,3,7,153
label_smoothing_ce,4,3,8,71
label_smoothing_ce,4,3,9,53
label_smoothing_ce,4,4,0,16
label_smoothing_ce,4,4,1,0
label_smoothing_ce,4,4,2,14
label_smoothing_ce,4,4,3,249
label_smoothing_ce,4,4,4,4189
label_smoothing_ce,4,4,5,98
label_smoothing_ce,4,4,6,159
label_smoothing_ce,4,4,7,228
label_smoothing_ce,4,4,8,33
label_smoothing_ce,4,4,9,14
label_smoothing_ce,4,5,0,1
label_smoothing_ce,4,5,1,3
label_smoothing_ce,4,5,2,7
label_smoothing_ce,4,5,3,783
label_smoothing_ce,4,5,4,175
label_smoothing_ce,4,5,5,3654
label_smoothing_ce,4,5,6,90
label_smoothing_ce,4,5,7,230
label_smoothing_ce,4,5,8,25
label_smoothing_ce,4,5,9,32
