criterion,epoch,true_class,predicted_class,count
weighted_ce,1,0,0,175
weighted_ce,1,0,1,29
weighted_ce,1,0,2,37
weighted_ce,1,0,3,15
weighted_ce,1,0,4,9
weighted_ce,1,0,5,19
weighted_ce,1,0,6,4
weighted_ce,1,0,7,23
weighted_ce,1,0,8,138
weighted_ce,1,0,9,51
weighted_ce,1,1,0,22
weighted_ce,1,1,1,204
weighted_ce,1,1,2,4
weighted_ce,1,1,3,4
weighted_ce,1,1,4,5
weighted_ce,1,1,5,1
weighted_ce,1,1,6,15
weighted_ce,1,1,7,18
weighted_ce,1,1,8,56
weighted_ce,1,1,9,171
weighted_ce,1,2,0,34
weighted_ce,1,2,1,10
weighted_ce,1,2,2,82
weighted_ce,1,2,3,39
weighted_ce,1,2,4,107
weighted_ce,1,2,5,63
weighted_ce,1,2,6,71
weighted_ce,1,2,7,42
weighted_ce,1,2,8,34
weighted_ce,1,2,9,18
weighted_ce,1,3,0,196
weighted_ce,1,3,1,123
weighted_ce,1,3,2,423
weighted_ce,1,3,3,879
weighted_ce,1,3,4,416
weighted_ce,1,3,5,1361
weighted_ce,1,3,6,771
weighted_ce,1,3,7,516
weighted_ce,1,3,8,124
weighted_ce,1,3,9,191
weighted_ce,1,4,0,257
weighted_ce,1,4,1,59
weighted_ce,1,4,2,599
weighted_ce,1,4,3,314
weighted_ce,1,4,4,1388
weighted_ce,1,4,5,469
weighted_ce,1,4,6,977
weighted_ce,1,4,7,682
weighted_ce,1,4,8,124
weighted_ce,1,4,9,131
weighted_ce,1,5,0,142
weighted_ce,1,5,1,84
weighted_ce,1,5,2,374
weighted_ce,1,5,3,837
weighted_ce,1,5,4,420
weighted_ce,1,5,5,1771
weighted_ce,1,5,6,505
weighted_ce,1,5,7,637
weighted_ce,1,5,8,75
weighted_ce,1,5,9,155
weighted_ce,1,6,0,87
weighted_ce,1,6,1,118
weighted_ce,1,6,2,409
weighted_ce,1,6,3,350
weighted_ce,1,6,4,676
weighted_ce,1,6,5,310
weighted_ce,1,6,6,2476
weighted_ce,1,6,7,345
weighted_ce,1,6,8,73
weighted_ce,1,6,9,156
weighted_ce,1,7,0,153
weighted_ce,1,7,1,102
weighted_ce,1,7,2,202
weighted_ce,1,7,3,319
weighted_ce,1,7,4,463
weighted_ce,1,7,5,620
weighted_ce,1,7,6,489
weighted_ce,1,7,7,2191
weighted_ce,1,7,8,100
weighted_ce,1,7,9,361
weighted_ce,1,8,0,1101
weighted_ce,1,8,1,439
weighted_ce,1,8,2,147
weighted_ce,1,8,3,91
weighted_ce,1,8,4,60
weighted_ce,1,8,5,66
