criterion,epoch,train_accuracy,test_accuracy
weighted_ce,1,0.37917808219178084,0.3253
weighted_ce,2,0.5503013698630137,0.4762
weighted_ce,3,0.6186027397260274,0.5584
weighted_ce,4,0.6694246575342466,0.624
weighted_ce,5,0.7047671232876712,0.5671
weighted_ce,6,0.7460821917808219,0.65
weighted_ce,7,0.7730684931506849,0.6965
weighted_ce,8,0.7950136986301369,0.6796
weighted_ce,9,0.8067123287671233,0.7224
weighted_ce,10,0.8233972602739726,0.6827
weighted_ce,11,0.8370684931506849,0.6984
weighted_ce,12,0.8474794520547945,0.7216
weighted_ce,13,0.8697260273972602,0.727
weighted_ce,14,0.8732328767123287,0.757
weighted_ce,15,0.8847671232876713,0.7052
weighted_ce,16,0.8795616438356164,0.749
weighted_ce,17,0.8964109589041096,0.7352
weighted_ce,18,0.9201643835616439,0.7204
weighted_ce,19,0.9026027397260274,0.7552
weighted_ce,20,0.93,0.6795
