criterion,epoch,true_class,predicted_class,count
ce,1,0,0,4
ce,1,0,1,0
ce,1,0,2,6
ce,1,0,3,1
ce,1,0,4,0
ce,1,0,5,11
ce,1,0,6,0
ce,1,0,7,0
ce,1,0,8,0
ce,1,0,9,4
ce,1,1,0,1
ce,1,1,1,0
ce,1,1,2,4
ce,1,1,3,0
ce,1,1,4,0
ce,1,1,5,15
ce,1,1,6,0
ce,1,1,7,0
ce,1,1,8,0
ce,1,1,9,8
ce,1,2,0,9
ce,1,2,1,0
ce,1,2,2,4
ce,1,2,3,0
ce,1,2,4,0
ce,1,2,5,18
ce,1,2,6,0
ce,1,2,7,0
ce,1,2,8,0
ce,1,2,9,2
ce,1,3,0,4
ce,1,3,1,0
ce,1,3,2,1
ce,1,3,3,0
ce,1,3,4,0
ce,1,3,5,11
ce,1,3,6,0
ce,1,3,7,0
ce,1,3,8,0
ce,1,3,9,3
ce,1,4,0,3
ce,1,4,1,0
ce,1,4,2,6
ce,1,4,3,0
ce,1,4,4,0
ce,1,4,5,12
ce,1,4,6,0
ce,1,4,7,0
ce,1,4,8,0
ce,1,4,9,3
ce,1,5,0,7
ce,1,5,1,0
ce,1,5,2,3
ce,1,5,3,0
ce,1,5,4,0
ce,1,5,5,12
ce,1,5,6,0
ce,1,5,7,0
ce,1,5,8,0
ce,1,5,9,0
ce,1,6,0,7
ce,1,6,1,0
ce,1,6,2,7
ce,1,6,3,0
ce,1,6,4,0
ce,1,6,5,10
ce,1,6,6,0
ce,1,6,7,0
ce,1,6,8,0
ce,1,6,9,4
ce,1,7,0,4
ce,1,7,1,0
ce,1,7,2,4
ce,1,7,3,1
ce,1,7,4,0
ce,1,7,5,17
ce,1,7,6,0
ce,1,7,7,0
ce,1,7,8,0
ce,1,7,9,3
ce,1,8,0,4
ce,1,8,1,0
ce,1,8,2,5
ce,1,8,3,1
ce,1,8,4,0
ce,1,8,5,12
ce,1,8,6,0
ce,1,8,7,0
ce,1,8,8,0
ce,1,8,9,2
ce,1,9,0,1
ce,1,9,1,0
ce,1,9,2,1
ce,1,9,3,3
ce,1,9,4,0
ce,1,9,5,13
ce,1,9,6,0
ce,1,9,7,0
ce,1,9,8,0
ce,1,9,9,5
ce,2,0,0,1
ce,2,0,1,10
