criterion,epoch,training_loss
ce,1,2.3519339561462402
ce,2,2.2481539249420166
ce,3,2.1548328399658203
weighted_ce,1,2.343294143676758
weighted_ce,2,2.344240427017212
weighted_ce,3,2.2241240739822388
label_smoothing_ce,1,2.3413795828819275
label_smoothing_ce,2,2.271640717983246
label_smoothing_ce,3,2.177320897579193
focal_loss,1,1.8476627469062805
focal_loss,2,1.8320291638374329
focal_loss,3,1.6990619897842407
class_balanced_loss,1,2.3328959345817566
class_balanced_loss,2,2.2695459127426147
class_balanced_loss,3,2.1945298314094543
